City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Upata,VE,8.0086,-62.3989,76.19,94,90,3.42,overcast clouds
303,Russell,US,32.3502,-85.1999,78.4,94,0,0.0,clear sky
304,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,71,75,11.5,light rain
305,Airai,TL,-8.9266,125.4092,61.56,81,68,4.27,broken clouds
306,Port-Gentil,GA,-0.7193,8.7815,72.57,79,80,15.48,broken clouds
307,Sao Filipe,CV,14.8961,-24.4956,74.14,84,27,9.1,scattered clouds
308,Lerik,AZ,38.7726,48.4128,63.7,45,0,3.87,clear sky
309,Eyemouth,GB,55.8713,-2.0901,59.81,87,15,8.81,few clouds
310,Masvingo,ZW,-20.0637,30.8277,50.79,69,0,3.65,clear sky
311,Jalu,LY,29.0331,21.5482,79.16,50,0,15.97,clear sky
312,Oda,JP,35.1833,132.5,77.79,85,65,4.05,broken clouds
313,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,57.94,75,2,1.66,clear sky
314,Salinopolis,BR,-0.6136,-47.3561,76.96,86,83,8.46,broken clouds
315,Garden City,US,42.3256,-83.331,78.8,37,20,5.75,smoke
316,Karak,JO,31.1667,35.75,65.88,62,1,9.57,clear sky
317,Sao Sebastiao,BR,-23.76,-45.4097,65.43,94,17,6.26,few clouds
318,Mamlyutka,KZ,54.9375,68.5394,62.44,81,86,5.37,overcast clouds
319,Lata,PT,40.1629,-8.3327,66.96,56,0,2.04,clear sky
320,Karymskoye,RU,51.6167,114.35,62.26,63,38,9.01,scattered clouds
321,Bedford,GB,52.1346,-0.4663,60.82,84,4,0.78,clear sky
322,Payo,ID,-3.7508,103.6372,70.7,91,51,1.83,broken clouds
323,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,2.3,overcast clouds
324,Mildura,AU,-34.2,142.15,44.08,94,0,5.91,clear sky
325,Kjollefjord,NO,70.9457,27.3465,51.85,93,40,2.3,scattered clouds
326,Sechura,PE,-5.5569,-80.8222,67.03,69,64,18.05,broken clouds
327,La Palma,US,33.8464,-118.0467,99.97,47,0,12.66,clear sky
